tJ2,gxx,gxy,gzz
5.78,0.00311636,0.000302218,0.00168816
5.8,0.00311048,0.000313359,0.0016674
5.82,0.00310463,0.000323396,0.00164759
5.84,0.00309878,0.000332311,0.00162874
5.86,0.0030929,0.00034009,0.00161086
5.88,0.00308697,0.000346721,0.00159395
5.9,0.00308096,0.000352193,0.00157801
5.92,0.00307485,0.000356498,0.00156305
5.94,0.00306863,0.000359629,0.00154908
5.96,0.00306227,0.000361584,0.00153608
5.98,0.00305576,0.000362374,0.00152408
6,0.00304905,0.000362048,0.00151312
